,site_name,site_id,site_type,region,strand,transcript_name,transcript_id
5868,mprAp,TU00459,Promoters,"(2810747, 2810747)",+,emrRAB,TU00459
5869,ycfDp4,PM0-44763,Promoters,"(1188267, 1188267)",-,,
5870,yobBp8,PM0-45125,Promoters,"(1925209, 1925209)",+,,
5871,hicAp1,TU0-13266,Promoters,"(1509221, 1509221)",+,hicAB,TU0-13266
5872,aceEp2,TU0-45254,Promoters,"(122969, 122969)",+,aceEF,TU0-45254
5873,ygdRp5,PM0-45492,Promoters,"(2971247, 2971247)",+,,
5874,yibGp6,PM0-45857,Promoters,"(3768064, 3768064)",+,,
5875,hypFp2,TU0-14406,Promoters,"(2838014, 2838014)",-,hypF,TU0-14406
5876,argDp,TU00111,Promoters,"(3490221, 3490221)",-,argD,TU00111
5877,cdsAp3,PM0-44382,Promoters,"(195555, 195555)",+,,
5878,ybhLp,TU0-13047,Promoters,"(819858, 819858)",+,ybhL,TU0-13047
5879,clpAp3,TU00447,Promoters,"(923210, 923210)",+,clpA,TU00447
5880,hinTp1,PM0-44747,Promoters,"(1161821, 1161821)",+,,
5881,kdgRp9,PM0-45109,Promoters,"(1910140, 1910140)",-,,
5882,pepAp3,TU0-14741,Promoters,"(4486101, 4486101)",-,pepA,TU0-14741
5883,rapAp2,TU0-45240,Promoters,"(63588, 63588)",-,hepA,TU0-45240
5884,mazGp4,PM0-45476,Promoters,"(2910860, 2910860)",-,,
5885,yiaBp1,PM0-45841,Promoters,"(3727797, 3727797)",-,,
5886,mreBp3,TU0-14390,Promoters,"(3401356, 3401356)",-,mreB; mreBCD,TU0-14390; TU0-14387
5887,alkBp,TU00073,Promoters,"(2309445, 2309445)",-,alkB,TU00073
5888,yadNp1,PM0-44366,Promoters,"(156984, 156984)",-,,
5889,galKp,TU0-42588,Promoters,"(790463, 790463)",-,galK,TU0-42588
5890,gapAp4,TU0-4907,Promoters,"(1862526, 1862526)",+,gapA,TU0-4907
5891,yceOp7,PM0-44731,Promoters,"(1119632, 1119632)",-,,
5892,leuEp4,PM0-45093,Promoters,"(1880767, 1880767)",-,,
5893,uvrBp1,TU0-14730,Promoters,"(813493, 813493)",+,uvrB,TU0-14730
5894,ygbLp5,PM0-45460,Promoters,"(2863537, 2863537)",+,,
5895,bcsEp11,PM0-45825,Promoters,"(3696395, 3696395)",+,,
5896,yrbGp,TU0-36430,Promoters,"(3340211, 3340211)",+,yrbG-kdsDC-lptCAB; yrbG-kdsD,TU0-36430; TU0-14290
5897,fadBp,TU00215,Promoters,"(4031013, 4031013)",-,fadBA,TU00215
5898,thiQp2,PM0-44351,Promoters,"(73085, 73085)",-,,
5899,yqhGp,TU0-13825,Promoters,"(3157545, 3157545)",+,yqhG,TU0-13825
5900,rlmEp1,TU00277,Promoters,"(3327760, 3327760)",-,rlmE-ftsH,TU00277
5901,efeOp2,PM0-44715,Promoters,"(1082154, 1082154)",+,,
5902,ydjFp7,PM0-45077,Promoters,"(1854886, 1854886)",-,,
5903,tolCp3,TU0-14704,Promoters,"(3178062, 3178062)",+,tolC-ygiBC,TU0-14704
5904,yfjPp6,PM0-45444,Promoters,"(2767644, 2767644)",+,,
5905,yhiNp6,PM0-45809,Promoters,"(3637500, 3637500)",-,,
5906,yecFp,TU0-8716,Promoters,"(1995717, 1995717)",+,yecF,TU0-8716
5907,yaaJp4,PM0-44336,Promoters,"(8017, 8017)",-,,
5908,ydcSp1,TU0-42535,Promoters,"(1511599, 1511599)",+,ydcSTUV-patD,TU0-42535
5909,trpLp,TU0-42510,Promoters,"(1323108, 1323108)",-,trpL; trpLEDCBA,TU0-42510; TU00067
5910,dppAp,TU00262,Promoters,"(3707870, 3707870)",-,dppABCDF,TU00262
5911,gfcDp3,PM0-44699,Promoters,"(1048118, 1048118)",-,,
5912,ydjOp9,PM0-45061,Promoters,"(1813153, 1813153)",-,,
5913,lsrRp,TU0-13299,Promoters,"(1601257, 1601257)",-,lsrRK,TU0-13299
5914,yfiRp8,PM0-45428,Promoters,"(2741702, 2741702)",+,,
5915,dcrBp2,PM0-45793,Promoters,"(3609780, 3609780)",+,,
5916,aroHp2,TU0-14254,Promoters,"(1788384, 1788384)",+,aroH,TU0-14254
5917,dsbCp,TU0-4141,Promoters,"(3038834, 3038834)",-,dsbC,TU0-4141
5918,ibaGp1,TU0-42495,Promoters,"(3336833, 3336833)",-,ibaG-murA,TU0-42495
5919,oxyRp,TU00051,Promoters,"(4158457, 4158457)",+,oxyR,TU00051
5920,cbpAp1,TU00387,Promoters,"(1063833, 1063833)",-,cbpAM,TU00387
5921,elfAp7,PM0-44683,Promoters,"(997808, 997808)",+,,
5922,ydiNp6,PM0-45045,Promoters,"(1772409, 1772409)",+,,
5923,ybgAp2,TU0-14679,Promoters,"(738920, 738920)",+,ybgA-phr,TU0-14679
5924,yfiCp3,PM0-45412,Promoters,"(2712805, 2712805)",-,,
5925,yhhAp6,PM0-45777,Promoters,"(3586729, 3586729)",+,,
5926,ompXp2,TU0-8812,Promoters,"(850419, 850419)",+,ompX,TU0-8812
5927,yhdWp,TU0-3622,Promoters,"(3418972, 3418972)",+,yhdWXYZ,TU0-3622
5928,mcaSp,TU0-8839,Promoters,"(1405751, 1405751)",-,mcaS,TU0-8839
5929,lexAp,TU00037,Promoters,"(4257087, 4257087)",+,lexA-dinF,TU00037
5930,rrsBp1,TU0-1182,Promoters,"(4166367, 4166367)",+,rrsB-gltT-rrlB-rrfB,TU0-1182
5931,ycaMp3,PM0-44667,Promoters,"(947145, 947145)",+,,
5932,mdtKp10,PM0-45029,Promoters,"(1743269, 1743269)",+,,
5933,groLp2,TU0-14673,Promoters,"(4370873, 4370873)",+,groL,TU0-14673
5934,pbpCp2,PM0-45396,Promoters,"(2647368, 2647368)",-,,
5935,greBp8,PM0-45761,Promoters,"(3536744, 3536744)",+,,
5936,cysSp,TU0-8477,Promoters,"(554577, 554577)",+,cysS,TU0-8477
5937,aaeRp,TU0-8759,Promoters,"(3389496, 3389496)",+,aaeR,TU0-8759
5938,csrAp1,TU0-42456,Promoters,"(2819373, 2819373)",-,csrA,TU0-42456
5939,dusBp,TU00021,Promoters,"(3410246, 3410246)",+,dusB-fis,TU00021
5940,rplJp,TU00335,Promoters,"(4179623, 4179623)",+,rplJL-rpoBC,TU00335
5941,ybjMp8,PM0-44651,Promoters,"(889885, 889885)",+,,
5942,cnup8,PM0-45013,Promoters,"(1704864, 1704864)",+,,
5943,frep1,TU0-14055,Promoters,"(4026443, 4026443)",+,fre,TU0-14055
5944,yffQp3,PM0-45377,Promoters,"(2563409, 2563409)",+,,
5945,yhfYp1,PM0-45745,Promoters,"(3511617, 3511617)",-,,
5946,ascFp,TU00241,Promoters,"(2839429, 2839429)",+,ascFB,TU00241
5947,psdp,TU0-3424,Promoters,"(4390638, 4390638)",-,psd-mscM,TU0-3424
5948,yjjXp5,PM0-46113,Promoters,"(4633773, 4633773)",-,,
5949,argRp1,TU00007,Promoters,"(3384677, 3384677)",+,argR,TU00007
5950,trxAp2,TU0-3103,Promoters,"(3965687, 3965687)",+,trxA,TU0-3103
5951,rhtAp8,PM0-44634,Promoters,"(850304, 850304)",-,,
5952,ynfKp5,PM0-44997,Promoters,"(1667240, 1667240)",-,,
5953,tsgAp,TU0-13922,Promoters,"(3492519, 3492519)",+,tsgA,TU0-13922
5954,yfeCp3,PM0-45361,Promoters,"(2518384, 2518384)",+,,
5955,arfAp3,TU0-13910,Promoters,"(3438673, 3438673)",-,arfA,TU0-13910
5956,mutMp2,PM0-8736,Promoters,"(3811277, 3811277)",-,,
5957,yaeQp,TU0-12835,Promoters,"(214280, 214280)",+,yaeQ-arfB-nlpE,TU0-12835
5958,yjjLp7,PM0-46097,Promoters,"(4594837, 4594837)",-,,
5959,lipAp,TU0-13004,Promoters,"(660301, 660301)",-,lipA,TU0-13004
5960,dnaNp2,TU0-1194,Promoters,"(3882590, 3882590)",-,dnaN-recF,TU0-1194
5961,ybhHp7,PM0-44619,Promoters,"(800694, 800694)",+,,
5962,tfaQp6,PM0-44981,Promoters,"(1634956, 1634956)",-,,
5963,adiAp,TU00235,Promoters,"(4340556, 4340556)",-,adiA,TU00235
5964,dkgAp,TU0-13824,Promoters,"(3156571, 3156571)",+,dkgA,TU0-13824
5965,yfdPp6,PM0-45345,Promoters,"(2473536, 2473536)",+,,
5966,csrDp4,PM0-45713,Promoters,"(3403425, 3403425)",-,,
5967,lolBp,TU0-8323,Promoters,"(1263556, 1263556)",-,lolB-ispE-prs,TU0-8323
5968,adep,TU0-8765,Promoters,"(3843910, 3843910)",+,ade,TU0-8765
5969,iadAp3,PM0-46081,Promoters,"(4559537, 4559537)",-,,
5970,ppnPp,TU0-12915,Promoters,"(408148, 408148)",+,ppnP,TU0-12915
5971,rpsJp,TU00347,Promoters,"(3453442, 3453442)",-,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,TU00347
5972,tolBp3,PM0-44604,Promoters,"(777560, 777560)",+,,
5973,yneEp5,PM0-44965,Promoters,"(1609182, 1609182)",-,,
5974,mutSp,TU723,Promoters,"(2857019, 2857019)",+,mutS,TU723
5975,rpoSp1,TU0-14649,Promoters,"(2867567, 2867567)",-,rpoS,TU0-14649
5976,yfcIp8,PM0-45326,Promoters,"(2423614, 2423614)",-,,
5977,pcnBp4,TU0-36412,Promoters,"(159391, 159391)",-,pcnB-folk,TU0-36412
5978,nanRp9,PM0-45694,Promoters,"(3374703, 3374703)",-,,
5979,artJp,TU0-8161,Promoters,"(900626, 900626)",-,artJ,TU0-8161
5980,yjgZp1,PM0-46062,Promoters,"(4501058, 4501058)",+,,
5981,talBp,TU0-8121,Promoters,"(8191, 8191)",+,talB,TU0-8121
5982,proVp3,TU702,Promoters,"(2804755, 2804755)",+,proVWX,TU702
5983,insHp3,PM0-44584,Promoters,"(689205, 689205)",-,,
5984,phoPp1,TU00319,Promoters,"(1190483, 1190483)",-,phoPQ,TU00319
5985,yfaYp,TU0-13567,Promoters,"(2363655, 2363655)",-,yfaY,TU0-13567
5986,yfbLp5,PM0-45310,Promoters,"(2385750, 2385750)",+,,
5987,patAp,TU0-3341,Promoters,"(3219458, 3219458)",+,patA,TU0-3341
5988,dacBp5,PM0-45678,Promoters,"(3328857, 3328857)",+,,
5989,dhaRp,TU0-7962,Promoters,"(1251003, 1251003)",+,dhaR,TU0-7962
5990,yjgAp11,PM0-46046,Promoters,"(4458046, 4458046)",-,,
5991,hfqp1,TU0-14567,Promoters,,+,hfq-hflXKC,TU0-14567
5992,flKp,TU0-5184,Promoters,"(2437912, 2437912)",+,flk,TU0-5184
5993,cobCp7,PM0-44568,Promoters,"(669944, 669944)",-,,
5994,hupBp1,TU487,Promoters,"(461442, 461442)",+,hupB,TU487
5995,yncLp4,PM0-44935,Promoters,"(1517246, 1517246)",-,,
5996,aspSp1,TU0-14634,Promoters,"(1950701, 1950701)",-,aspS,TU0-14634
5997,rhmAp3,PM0-45294,Promoters,"(2358946, 2358946)",-,,
5998,narUp2,TU0-2661,Promoters,"(1544163, 1544163)",-,narU,TU0-2661
5999,yrbLp,TU0-7781,Promoters,"(3348421, 3348421)",+,yrbL,TU0-7781
6000,yraQp3,PM0-45665,Promoters,"(3298174, 3298174)",-,,
6001,yjfZp7,PM0-46030,Promoters,"(4427526, 4427526)",-,,
6002,yccEp,TU0-13113,Promoters,,+,yccE,TU0-13113
6003,htpXp,TU00400,Promoters,"(1912618, 1912618)",-,htpX,TU00400
6004,citTp4,PM0-44552,Promoters,"(646632, 646632)",-,,
6005,tauAp,TU302,Promoters,"(385205, 385205)",+,tauABCD,TU302
6006,opgDp4,PM0-44919,Promoters,"(1496645, 1496645)",+,,
6007,gstAp,TU0-13353,Promoters,"(1714327, 1714327)",+,gstA,TU0-13353
6008,ecop7,PM0-45279,Promoters,"(2303851, 2303851)",+,,
6009,gadXp,TU0-14433,Promoters,"(3665839, 3665839)",-,gadXW; gadX,TU0-14433; TU0-2261
6010,bglXp,TU0-7501,Promoters,"(2222120, 2222120)",-,bglX,TU0-7501
6011,tdcRp5,PM0-45649,Promoters,"(3267226, 3267226)",+,,
6012,yjdLp1,PM0-46014,Promoters,"(4356462, 4356462)",-,,
6013,safAp,TU0-14545,Promoters,"(1584028, 1584028)",-,safA-ydeO,TU0-14545
6014,treAp,TU00396,Promoters,"(1247425, 1247425)",-,treA,TU00396
6015,ybdJp2,PM0-44536,Promoters,"(606405, 606405)",-,,
6016,idlPp,TU0-45219,Promoters,"(4556856, 4556856)",+,iraD,TU0-45219
6017,rpsMp2,TU00349,Promoters,"(3442565, 3442565)",-,rpsMKD-rpoA-rplQ,TU00349
6018,ynbAp5,PM0-44903,Promoters,"(1477471, 1477471)",+,,
6019,ycjGp,TU0-8693,Promoters,"(1388874, 1388874)",+,ycjG,TU0-8693
6020,yeiWp7,PM0-45264,Promoters,"(2265413, 2265413)",-,,
6021,cusCp,TU0-1821,Promoters,"(595573, 595573)",+,cusCFBA,TU0-1821
6022,istR-2p,TU0-7181,Promoters,"(3853257, 3853257)",-,istR-2,TU0-7181
6023,yqjFp3,PM0-45633,Promoters,"(3250472, 3250472)",+,,
6024,yjcFp6,PM0-45998,Promoters,"(4283106, 4283106)",-,,
6025,lacYp,TU0-14521,Promoters,,-,lacYA,TU0-14521
6026,gltAp2,TU00416,Promoters,"(754670, 754670)",-,gltA,TU00416
6027,sfmCp5,PM0-44520,Promoters,"(558803, 558803)",+,,
6028,csgDp,TU0-45201,Promoters,"(1103335, 1103335)",-,csgDEFG,TU0-45201
6029,pqiAp1,TU561,Promoters,"(1011666, 1011666)",+,pqiABC,TU561
6030,trkGp7,PM0-44887,Promoters,"(1423671, 1423671)",+,,
6031,clsCp,TU0-14619,Promoters,"(1106292, 1106292)",+,clsC,TU0-14619
6032,mglCp5,PM0-45249,Promoters,"(2237858, 2237858)",-,,
6033,flgKp,TU0-1545,Promoters,"(1138351, 1138351)",+,flgK,TU0-1545
6034,hisLp,TU0-42511,Promoters,"(2089965, 2089965)",+,hisL; hisLGDCBHAFI,TU0-42511; TU00285
6035,yqjHp5,PM0-45617,Promoters,"(3216536, 3216536)",-,,
6036,arpAp8,PM0-45982,Promoters,"(4222513, 4222513)",-,,
6037,yadCp,TU0-12818,Promoters,,-,yadC,TU0-12818
6038,rnhAp,TU0-6685,Promoters,"(236041, 236041)",-,rnhA,TU0-6685
6039,ybbJp1,PM0-44504,Promoters,"(515077, 515077)",-,,
6040,dnaNp,TU0-45187,Promoters,"(3882733, 3882733)",-,dnaN-recF,TU0-45187
6041,ompRp4,TU163,Promoters,"(3536755, 3536755)",-,ompR-envZ,TU163
6042,insHp7,PM0-44871,Promoters,"(1395971, 1395971)",+,,
6043,tehAp,TU00364,Promoters,"(1500536, 1500536)",+,tehAB,TU00364
6044,mrpp7,PM0-45234,Promoters,"(2194180, 2194180)",-,,
6045,sugEp,TU0-1241,Promoters,"(4376794, 4376794)",+,sugE,TU0-1241
6046,mutMp,TU0-5523,Promoters,"(3811175, 3811175)",-,mutM,TU0-5523
6047,yqiCp1,PM0-45601,Promoters,"(3184831, 3184831)",+,,
6048,yijEp5,PM0-45966,Promoters,"(4136089, 4136089)",+,,
6049,yacGp,TU0-14495,Promoters,,-,yacG,TU0-14495
6050,dnaKp1,TU00260,Promoters,"(12048, 12048)",+,dnaKJ,TU00260
6051,hhap6,PM0-44488,Promoters,"(480503, 480503)",-,,
6052,mnmGp2,TU0-45168,Promoters,"(3925674, 3925674)",-,mnmG-rsmG,TU0-45168
6053,pgip,TU0-6444,Promoters,"(4233722, 4233722)",+,pgi,TU0-6444
6054,yciWp4,PM0-44855,Promoters,"(1350236, 1350236)",-,,
6055,malQp,TU-8414,Promoters,"(3550399, 3550399)",-,malQ,TU-8414
6056,yegJp8,PM0-45218,Promoters,"(2151051, 2151051)",+,,
6057,ptsGp1,TU0-1141,Promoters,"(1157766, 1157766)",+,ptsG,TU0-1141
6058,uidRp,TU0-5082,Promoters,"(1697075, 1697075)",-,uidR,TU0-5082
6059,parCp4,PM0-45585,Promoters,"(3166030, 3166030)",-,,
6060,yiiEp5,PM0-45950,Promoters,"(4079180, 4079180)",+,,
6061,rdgBp,TU0-14491,Promoters,"(3096620, 3096620)",+,rdgB-yggW,TU0-14491
6062,wzap1,TU00207,Promoters,"(2137583, 2137583)",-,wza-wzb-wzc-wcaAB,TU00207
6063,makp4,PM0-44472,Promoters,"(410118, 410118)",+,,
6064,glrKp,TU0-4405,Promoters,"(2691123, 2691123)",-,glrK,TU0-4405
6065,fliLp1,TU00276,Promoters,"(2019584, 2019584)",+,fliLMNOPQR,TU00276
6066,trpAp7,PM0-44839,Promoters,"(1317339, 1317339)",-,,
6067,bamDp2,TU-8391,Promoters,"(2735961, 2735961)",+,bamD,TU-8391
6068,wbbKp4,PM0-45202,Promoters,"(2104606, 2104606)",-,,
6069,sohBp1,TU0-961,Promoters,"(1329284, 1329284)",+,sohB,TU0-961
6070,gadEp1,TU0-4901,Promoters,"(3658242, 3658242)",+,gadEF,TU0-4901
6071,yghTp7,PM0-45569,Promoters,"(3134084, 3134084)",+,,
6072,yihAp9,PM0-45934,Promoters,"(4050985, 4050985)",-,,
6073,ybeDp,TU0-14470,Promoters,"(662706, 662706)",-,ybeD-lipB,TU0-14470
6074,metCp,TU00191,Promoters,"(3152075, 3152075)",+,metC,TU00191
6075,yaiOp6,PM0-44456,Promoters,"(380850, 380850)",-,,
6076,xapBp3,TU0-44212,Promoters,"(2524375, 2524375)",-,xapB,TU0-44212
6077,pheUp,TU00520,Promoters,"(4362627, 4362627)",-,pheU,TU00520
6078,purUp3,PM0-44823,Promoters,"(1288751, 1288751)",-,,
6079,cobTp8,PM0-45186,Promoters,"(2064601, 2064601)",-,,
6080,ttdAp,TU00368,Promoters,"(3206424, 3206424)",+,ttdABT,TU00368
6081,znuCp,TU0-4604,Promoters,"(1942634, 1942634)",+,znuCB,TU0-4604
6082,yghDp2,PM0-45553,Promoters,"(3111211, 3111211)",-,,
6083,recQp1,PM0-45918,Promoters,"(4005858, 4005858)",+,,
6084,chaCp,TU0-14458,Promoters,"(1272422, 1272422)",+,chaC,TU0-14458
6085,ihfBp,TU00175,Promoters,"(963749, 963749)",+,ihfB,TU00175
6086,ykgDp2,PM0-44441,Promoters,"(320193, 320193)",+,,
6087,allBp2,TU0-44197,Promoters,"(538986, 538986)",+,allB,TU0-44197
6088,thrUp,TU00504,Promoters,"(4175381, 4175381)",+,thrU-tyrU-glyT-thrT-tufB,TU00504
6089,emtAp4,PM0-44808,Promoters,"(1243125, 1243125)",+,,
6090,yedVp6,PM0-45170,Promoters,"(2038202, 2038202)",-,,
6091,fnrSp,TU0-14795,Promoters,"(1409129, 1409129)",+,fnrS,TU0-14795
6092,ameFp,TU0-198692,Promoters,"(2911051, 2911051)",+,ameF,TU0-198692
6093,yqgBp1,PM0-45537,Promoters,"(3086250, 3086250)",-,,
6094,hsrAp4,PM0-45902,Promoters,"(3940643, 3940643)",-,,
6095,ychHp,TU0-8689,Promoters,"(1258738, 1258738)",+,ychH,TU0-8689
6096,fumBp,TU00159,Promoters,"(4347348, 4347348)",-,fumB,TU00159
6097,ecpRp,TU0-12880,Promoters,"(311393, 311393)",-,ecpR,TU0-12880
6098,yihUp4,TU0-42689,Promoters,"(4073634, 4073634)",-,yihUTS,TU0-42689
6099,glmUp2,TU00488,Promoters,"(3915326, 3915326)",-,glmUS,TU00488
6100,ycgXp5,PM0-44792,Promoters,"(1213212, 1213212)",-,,
6101,yecHp3,PM0-45154,Promoters,"(1989564, 1989564)",-,,
6102,crlp2,PM0-10465,Promoters,"(257824, 257824)",+,,
6103,rseDp1,TU0-45282,Promoters,"(2710339, 2710339)",-,rseD-rpoE-rseABC,TU0-45282
6104,hyuAp1,PM0-45521,Promoters,"(3009919, 3009919)",+,,
6105,yicOp11,PM0-45886,Promoters,"(3843819, 3843819)",-,,
6106,rcnAp,TU0-13514,Promoters,"(2185827, 2185827)",+,rcnAB,TU0-13514
6107,cynTp,TU0-14378,Promoters,"(358773, 358773)",+,cynTS; cynTSX,TU0-14378; TU00142
6108,yagEp3,PM0-44411,Promoters,"(282223, 282223)",+,,
6109,leuOp3,TU0-42656,Promoters,"(84298, 84298)",+,leuO,TU0-42656
6110,glnBp1,TU00473,Promoters,"(2687441, 2687441)",-,glnB,TU00473
6111,ymfJp9,PM0-44776,Promoters,"(1202259, 1202259)",-,,
6112,yecDp8,PM0-45138,Promoters,"(1950636, 1950636)",+,,
6113,tynAp,TU0-42552,Promoters,"(1451409, 1451409)",-,tynA,TU0-42552
6114,oxyRp2,TU0-45266,Promoters,"(4158457, 4158457)",+,oxyR,TU0-45266
6115,yqeIp1,PM0-45505,Promoters,"(2988344, 2988344)",+,,
6116,waaUp8,PM0-45870,Promoters,"(3799498, 3799498)",-,,
6117,yhjAp,TU0-13965,Promoters,"(3669261, 3669261)",-,yhjA,TU0-13965
6118,ubiGp,TU00126,Promoters,"(2339539, 2339539)",+,ubiG,TU00126
6119,ivyp4,PM0-44395,Promoters,"(240319, 240319)",+,,
6120,tcyPp,TU0-13384,Promoters,"(1810882, 1810882)",+,tcyP,TU0-13384
6121,ftsZp4,TU0-1425,Promoters,"(104636, 104636)",+,ftsZ,TU0-1425
6122,ycfZp6,PM0-44760,Promoters,"(1181346, 1181346)",-,,
6123,holEp5,PM0-45122,Promoters,"(1925020, 1925020)",+,,
6124,chiZp,TU0-13021,Promoters,"(708236, 708236)",+,chiZPQ,TU0-13021
6125,gpmAp4,TU0-45252,Promoters,"(787632, 787632)",-,gpmA,TU0-45252
6126,mutHp5,PM0-45489,Promoters,"(2969582, 2969582)",+,,
6127,yiaYp6,PM0-45854,Promoters,"(3757928, 3757928)",-,,
6128,dapEp,TU0-14404,Promoters,"(2591560, 2591560)",+,dapE-ypfN,TU0-14404
6129,icdAp1,TU00107,Promoters,"(1195008, 1195008)",+,icd,TU00107
6130,dxrp4,PM0-44379,Promoters,"(193338, 193338)",+,,
6131,yibNp,TU0-42596,Promoters,"(3785195, 3785195)",-,yibN-grxC-secB-gpsA,TU0-42596
6132,nuoAp1,TU00448,Promoters,"(2405335, 2405335)",-,nuoABCEFGHIJKLMN,TU00448
6133,pabCp1,PM0-44744,Promoters,"(1153293, 1153293)",+,,
6134,yobHp4,PM0-45106,Promoters,"(1908900, 1908900)",+,,
6135,pldAp,TU0-14046,Promoters,"(4004814, 4004814)",+,pldA,TU0-14046
6136,pstBp2,TU0-45237,Promoters,"(3908556, 3908556)",-,pstB-phoU,TU0-45237
6137,queEp7,PM0-45473,Promoters,"(2905606, 2905606)",-,,
6138,insJp4,PM0-45838,Promoters,"(3720594, 3720594)",+,,
6139,relBp,TU0-14381,Promoters,"(1645903, 1645903)",-,relBE-hokD,TU0-14381
6140,fabAp,TU00092,Promoters,"(1016498, 1016498)",-,fabA,TU00092
6141,panCp4,PM0-44363,Promoters,"(148910, 148910)",-,,
6142,micLp1,TU0-42576,Promoters,"(1958747, 1958747)",-,micL,TU0-42576
6143,lrhAp,TU00428,Promoters,"(2406656, 2406656)",-,lrhA,TU00428
6144,ymdBp4,PM0-44728,Promoters,"(1105738, 1105738)",+,,
6145,yeaPp3,PM0-45090,Promoters,"(1877666, 1877666)",+,,
6146,yqaEp,TU0-42608,Promoters,"(2797085, 2797085)",-,yqaE-kbp; yqaE,TU0-42608; TU0-13709
6147,ygbIp5,PM0-45457,Promoters,"(2861441, 2861441)",-,,
6148,yhjRp12,PM0-45822,Promoters,"(3696215, 3696215)",-,,
6149,yjbEp1,TU0-14287,Promoters,"(4235858, 4235858)",+,yjbEFGH; yjbE,TU0-14287; TU0-14111
6150,cysBp,TU00077,Promoters,"(1333788, 1333788)",+,cysB,TU00077
6151,djlAp3,PM0-44349,Promoters,"(57268, 57268)",+,,
6152,ynbAp,TU0-13250,Promoters,"(1477597, 1477597)",+,ynbABCD,TU0-13250
6153,fimBp1,TU00409,Promoters,"(4540809, 4540809)",+,fimB,TU00409
6154,torTp7,PM0-44712,Promoters,"(1056207, 1056207)",+,,
6155,ydjEp5,PM0-45074,Promoters,"(1853983, 1853983)",-,,
6156,cmrp2,TU0-14699,Promoters,"(883569, 883569)",+,cmr,TU0-14699
6157,yfjJp6,PM0-45441,Promoters,"(2760507, 2760507)",+,,
6158,yhiMp9,PM0-45806,Promoters,"(3634783, 3634783)",+,,
6159,ygbKp,TU0-14275,Promoters,"(2862197, 2862197)",+,ygbK,TU0-14275
6160,yaaXp4,PM0-44333,Promoters,"(5030, 5030)",+,,
6161,cbpAp4,TU0-42533,Promoters,"(1063919, 1063919)",-,cbpA-cbpM,TU0-42533
6162,sodAp,TU00064,Promoters,"(4100759, 4100759)",+,sodA,TU00064
6163,osmEp,TU00398,Promoters,"(1822283, 1822283)",-,osmE,TU00398
6164,yccXp5,PM0-44696,Promoters,"(1029980, 1029980)",+,,
6165,yniAp7,PM0-45058,Promoters,"(1807579, 1807579)",+,,
6166,ssrSp1,TU0-36424,Promoters,"(3055974, 3055974)",+,ssrS; ssrS-ygfA,TU0-36424; TU0-13794
6167,yfiRp5,PM0-45425,Promoters,"(2741762, 2741762)",+,,
6168,tusAp7,PM0-45790,Promoters,"(3609020, 3609020)",-,,
6169,tigp,PM0-9326,Promoters,"(454994, 454994)",+,,
6170,fepDp2,TU0-3963,Promoters,"(622192, 622192)",-,fepDGC,TU0-3963
6171,ypjBp,TU0-13702,Promoters,"(2784818, 2784818)",-,ypjB,TU0-13702
6172,ompAp1,TU00048,Promoters,"(1020191, 1020191)",-,ompA,TU00048
6173,bolAp1,TU00386,Promoters,"(454434, 454434)",+,bolA,TU00386
6174,ycaIp8,PM0-44680,Promoters,"(964108, 964108)",+,,
6175,ydiHp3,PM0-45042,Promoters,"(1765147, 1765147)",-,,
6176,artPp1,TU0-14676,Promoters,"(903815, 903815)",-,artPIQM,TU0-14676
6177,acpSp2,PM0-45409,Promoters,"(2701137, 2701137)",-,,
6178,yrhBp7,PM0-45774,Promoters,"(3584734, 3584734)",+,,
6179,omrBp,TU0-8762,Promoters,"(2976385, 2976385)",-,omrB,TU0-8762
6180,argTp,TU0-3581,Promoters,"(2427849, 2427849)",-,argT-hisJQMP,TU0-3581
6181,metHp2,TU0-42471,Promoters,"(4223505, 4223505)",+,metH,TU0-42471
6182,katGp,TU00034,Promoters,"(4133812, 4133812)",+,katG,TU00034
6183,lonp,TU0-4931,Promoters,"(458815, 458815)",+,lon,TU0-4931
6184,ycaDp1,PM0-44664,Promoters,"(945719, 945719)",+,,
6185,ydhCp6,PM0-45026,Promoters,"(1739878, 1739878)",+,,
6186,yjbQp,TU0-14122,Promoters,"(4270214, 4270214)",+,yjbQR,TU0-14122
6187,rodZp2,PM0-45393,Promoters,"(2642934, 2642934)",-,,
6188,yhgEp7,PM0-45758,Promoters,"(3532485, 3532485)",-,,
6189,argAp,TU0-8472,Promoters,"(2949156, 2949156)",+,argA,TU0-8472
6190,zupTp,TU0-8666,Promoters,"(3182433, 3182433)",+,zupT,TU0-8666
6191,ppkp,TU0-42452,Promoters,"(2622977, 2622977)",+,ppk-ppx,TU0-42452
6192,deoCp2,TU00018,Promoters,"(4617278, 4617278)",+,deoCABD,TU00018
6193,trmAp,TU00430,Promoters,"(4163295, 4163295)",-,trmA,TU00430
6194,ybjLp10,PM0-44648,Promoters,"(889941, 889941)",-,,
6195,addp6,TU0-13350,Promoters,"(1702202, 1702202)",+,add,TU0-13350
6196,kupp3,TU0-14663,Promoters,"(3931265, 3931265)",+,kup,TU0-14663
6197,yffOp7,PM0-45374,Promoters,"(2561993, 2561993)",+,,
6198,frlAp5,PM0-45742,Promoters,"(3499770, 3499770)",+,,
